   Picked  : Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_slv_4_env_i.logger_handle_ahb :: Header
             Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_slv_4_env_i.logger_handle_ahb
   Picked  : AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
             AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
   Skipped : ------------------------------------------------------------------------------------------------------------------------------------------
   Skipped : |NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
             |              610401 ns|              610406 ns|RD-NONSEQ | A582D838 | ----- |  1 | -------- |  ----  |SINGLE|    4    | B |           0|
   Picked  : |              610376 ns|              610406 ns|WR-DATA   | A582DA70 |  1/ 1 | -- | 8B046599 |  OKAY  | ---- | ------- | - | ---------- |
             |              610376 ns|              610406 ns|WR-DATA   | A582DA70 |  1/ 1 | -- | 8B046599 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              610426 ns|              610431 ns|WR-NONSEQ | A582D908 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 5 |           0|
             |              610426 ns|              610431 ns|WR-NONSEQ | A582D908 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 5 |           0|
   Picked  : |              610406 ns|              610431 ns|RD-DATA   | A582D838 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
             |              610406 ns|              610431 ns|RD-DATA   | A582D838 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              610456 ns|              610461 ns|RD-NONSEQ | A582DA3C | ----- |  1 | -------- |  ----  |SINGLE|    4    | B |           0|
             |              610456 ns|              610461 ns|RD-NONSEQ | A582DA3C | ----- |  1 | -------- |  ----  |SINGLE|    4    | B |           0|
   Picked  : |              610431 ns|              610461 ns|WR-DATA   | A582D908 |  1/ 1 | -- | FE10265A |  OKAY  | ---- | ------- | - | ---------- |
             |              610431 ns|              610461 ns|WR-DATA   | A582D908 |  1/ 1 | -- | FE10265A |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              610481 ns|              610486 ns|WR-NONSEQ | A582DA0C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
