Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mst_5_env_i.logger_handle_ahb
AHB Clk Cycle = 5 ns; AHB Clk Frequency = 200.00 MHz; Data bus width = 32 bits
------------------------------------------------------------------------------------------------------------------------------------------
|NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
|                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
|                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
|                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
|                       |                       |          |          |       |    |          |        |      |         | T |            |
|                       |                       |          |          |       |    |          |        |      |         |   |            |
------------------------------------------------------------------------------------------------------------------------------------------
|              790986 ns|              790991 ns|RD-NONSEQ | AFCDD090 | ----- |  4 | -------- |  ----  |INCR4 |    4    | B |           0|
|              790986 ns|              790991 ns|RD-DATA   | AFCDD0AC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              790991 ns|              791101 ns|RD-DATA   | AFCDD090 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791101 ns|              791106 ns|RD-DATA   | AFCDD094 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791106 ns|              791111 ns|RD-DATA   | AFCDD098 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791111 ns|              791116 ns|RD-NONSEQ | AFCDD080 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              791111 ns|              791116 ns|RD-DATA   | AFCDD09C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791116 ns|              791226 ns|RD-DATA   | AFCDD080 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791226 ns|              791231 ns|RD-DATA   | AFCDD084 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791231 ns|              791236 ns|RD-DATA   | AFCDD088 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791236 ns|              791241 ns|RD-NONSEQ | AFCDD070 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              791236 ns|              791241 ns|RD-DATA   | AFCDD08C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791241 ns|              791351 ns|RD-DATA   | AFCDD070 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791351 ns|              791356 ns|RD-DATA   | AFCDD074 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791356 ns|              791361 ns|RD-DATA   | AFCDD078 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791361 ns|              791366 ns|RD-NONSEQ | AFCDD060 | ----- |  4 | -------- |  ----  |INCR4 |    4    | E |           0|
|              791361 ns|              791366 ns|RD-DATA   | AFCDD07C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791366 ns|              791476 ns|RD-DATA   | AFCDD060 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791476 ns|              791481 ns|RD-DATA   | AFCDD064 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791481 ns|              791486 ns|RD-DATA   | AFCDD068 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791486 ns|              791491 ns|RD-NONSEQ | AFCDD050 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 3 |           0|
|              791486 ns|              791491 ns|RD-DATA   | AFCDD06C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791491 ns|              791601 ns|RD-DATA   | AFCDD050 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791601 ns|              791606 ns|RD-DATA   | AFCDD054 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791606 ns|              791611 ns|RD-DATA   | AFCDD058 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791611 ns|              791616 ns|RD-NONSEQ | AFCDD040 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              791611 ns|              791616 ns|RD-DATA   | AFCDD05C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791616 ns|              791726 ns|RD-DATA   | AFCDD040 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791726 ns|              791731 ns|RD-DATA   | AFCDD044 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791731 ns|              791736 ns|RD-DATA   | AFCDD048 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791736 ns|              791741 ns|RD-NONSEQ | AFCDD030 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 7 |           0|
|              791736 ns|              791741 ns|RD-DATA   | AFCDD04C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791741 ns|              791851 ns|RD-DATA   | AFCDD030 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791851 ns|              791856 ns|RD-DATA   | AFCDD034 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791856 ns|              791861 ns|RD-DATA   | AFCDD038 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791861 ns|              791866 ns|RD-NONSEQ | AFCDD020 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 0 |           0|
|              791861 ns|              791866 ns|RD-DATA   | AFCDD03C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791866 ns|              791976 ns|RD-DATA   | AFCDD020 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791976 ns|              791981 ns|RD-DATA   | AFCDD024 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791981 ns|              791986 ns|RD-DATA   | AFCDD028 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791986 ns|              791991 ns|RD-NONSEQ | AFCDD010 | ----- |  4 | -------- |  ----  |INCR4 |    4    | F |           0|
|              791986 ns|              791991 ns|RD-DATA   | AFCDD02C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              791991 ns|              792101 ns|RD-DATA   | AFCDD010 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792101 ns|              792106 ns|RD-DATA   | AFCDD014 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792106 ns|              792111 ns|RD-DATA   | AFCDD018 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792111 ns|              792116 ns|RD-NONSEQ | AFCDD000 | ----- |  4 | -------- |  ----  |INCR4 |    4    | B |           0|
|              792111 ns|              792116 ns|RD-DATA   | AFCDD01C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792116 ns|              792226 ns|RD-DATA   | AFCDD000 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792226 ns|              792231 ns|RD-DATA   | AFCDD004 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792231 ns|              792236 ns|RD-DATA   | AFCDD008 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792236 ns|              792241 ns|RD-NONSEQ | AFCDCFF0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 0 |           0|
|              792236 ns|              792241 ns|RD-DATA   | AFCDD00C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792241 ns|              792351 ns|RD-DATA   | AFCDCFF0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792351 ns|              792356 ns|RD-DATA   | AFCDCFF4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792356 ns|              792361 ns|RD-DATA   | AFCDCFF8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792361 ns|              792366 ns|RD-NONSEQ | AFCDCFE0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 8 |           0|
|              792361 ns|              792366 ns|RD-DATA   | AFCDCFFC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792366 ns|              792476 ns|RD-DATA   | AFCDCFE0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792476 ns|              792481 ns|RD-DATA   | AFCDCFE4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792481 ns|              792486 ns|RD-DATA   | AFCDCFE8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792486 ns|              792491 ns|RD-NONSEQ | AFCDCFD0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | F |           0|
|              792486 ns|              792491 ns|RD-DATA   | AFCDCFEC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792491 ns|              792601 ns|RD-DATA   | AFCDCFD0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792601 ns|              792606 ns|RD-DATA   | AFCDCFD4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792606 ns|              792611 ns|RD-DATA   | AFCDCFD8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792611 ns|              792616 ns|RD-NONSEQ | AFCDCFC0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | B |           0|
|              792611 ns|              792616 ns|RD-DATA   | AFCDCFDC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792616 ns|              792726 ns|RD-DATA   | AFCDCFC0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792726 ns|              792731 ns|RD-DATA   | AFCDCFC4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792731 ns|              792736 ns|RD-DATA   | AFCDCFC8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792736 ns|              792741 ns|RD-NONSEQ | AFCDCFB0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 0 |           0|
|              792736 ns|              792741 ns|RD-DATA   | AFCDCFCC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792741 ns|              792851 ns|RD-DATA   | AFCDCFB0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792851 ns|              792856 ns|RD-DATA   | AFCDCFB4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792856 ns|              792861 ns|RD-DATA   | AFCDCFB8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792861 ns|              792866 ns|RD-NONSEQ | AFCDCFA0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 1 |           0|
|              792861 ns|              792866 ns|RD-DATA   | AFCDCFBC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792866 ns|              792976 ns|RD-DATA   | AFCDCFA0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792976 ns|              792981 ns|RD-DATA   | AFCDCFA4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792981 ns|              792986 ns|RD-DATA   | AFCDCFA8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792986 ns|              792991 ns|RD-NONSEQ | AFCDCF90 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 2 |           0|
|              792986 ns|              792991 ns|RD-DATA   | AFCDCFAC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              792991 ns|              793101 ns|RD-DATA   | AFCDCF90 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793101 ns|              793106 ns|RD-DATA   | AFCDCF94 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793106 ns|              793111 ns|RD-DATA   | AFCDCF98 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793111 ns|              793116 ns|RD-NONSEQ | AFCDCF80 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 6 |           0|
|              793111 ns|              793116 ns|RD-DATA   | AFCDCF9C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793116 ns|              793226 ns|RD-DATA   | AFCDCF80 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793226 ns|              793231 ns|RD-DATA   | AFCDCF84 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793231 ns|              793236 ns|RD-DATA   | AFCDCF88 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793236 ns|              793241 ns|RD-NONSEQ | AFCDCF70 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 7 |           0|
|              793236 ns|              793241 ns|RD-DATA   | AFCDCF8C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793241 ns|              793351 ns|RD-DATA   | AFCDCF70 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793351 ns|              793356 ns|RD-DATA   | AFCDCF74 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793356 ns|              793361 ns|RD-DATA   | AFCDCF78 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793361 ns|              793366 ns|RD-NONSEQ | AFCDCF60 | ----- |  4 | -------- |  ----  |INCR4 |    4    | F |           0|
|              793361 ns|              793366 ns|RD-DATA   | AFCDCF7C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793366 ns|              793476 ns|RD-DATA   | AFCDCF60 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793476 ns|              793481 ns|RD-DATA   | AFCDCF64 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793481 ns|              793486 ns|RD-DATA   | AFCDCF68 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793486 ns|              793491 ns|RD-NONSEQ | AFCDCF50 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 8 |           0|
|              793486 ns|              793491 ns|RD-DATA   | AFCDCF6C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793491 ns|              793601 ns|RD-DATA   | AFCDCF50 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793601 ns|              793606 ns|RD-DATA   | AFCDCF54 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793606 ns|              793611 ns|RD-DATA   | AFCDCF58 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793611 ns|              793616 ns|RD-NONSEQ | AFCDCF40 | ----- |  4 | -------- |  ----  |INCR4 |    4    | D |           0|
|              793611 ns|              793616 ns|RD-DATA   | AFCDCF5C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793616 ns|              793726 ns|RD-DATA   | AFCDCF40 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793726 ns|              793731 ns|RD-DATA   | AFCDCF44 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793731 ns|              793736 ns|RD-DATA   | AFCDCF48 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793736 ns|              793741 ns|RD-NONSEQ | AFCDCF30 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 0 |           0|
|              793736 ns|              793741 ns|RD-DATA   | AFCDCF4C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793741 ns|              793851 ns|RD-DATA   | AFCDCF30 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793851 ns|              793856 ns|RD-DATA   | AFCDCF34 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793856 ns|              793861 ns|RD-DATA   | AFCDCF38 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793861 ns|              793866 ns|RD-NONSEQ | AFCDCF20 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 4 |           0|
|              793861 ns|              793866 ns|RD-DATA   | AFCDCF3C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793866 ns|              793976 ns|RD-DATA   | AFCDCF20 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793976 ns|              793981 ns|RD-DATA   | AFCDCF24 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793981 ns|              793986 ns|RD-DATA   | AFCDCF28 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793986 ns|              793991 ns|RD-NONSEQ | AFCDCF10 | ----- |  4 | -------- |  ----  |INCR4 |    4    | C |           0|
|              793986 ns|              793991 ns|RD-DATA   | AFCDCF2C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              793991 ns|              794101 ns|RD-DATA   | AFCDCF10 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794101 ns|              794106 ns|RD-DATA   | AFCDCF14 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794106 ns|              794111 ns|RD-DATA   | AFCDCF18 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794111 ns|              794116 ns|RD-NONSEQ | AFCDCF00 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 8 |           0|
|              794111 ns|              794116 ns|RD-DATA   | AFCDCF1C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794116 ns|              794241 ns|RD-DATA   | AFCDCF00 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794241 ns|              794246 ns|RD-DATA   | AFCDCF04 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794246 ns|              794251 ns|RD-DATA   | AFCDCF08 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794251 ns|              794256 ns|RD-NONSEQ | AFCDCEF0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 5 |           0|
|              794251 ns|              794256 ns|RD-DATA   | AFCDCF0C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794256 ns|              794366 ns|RD-DATA   | AFCDCEF0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794366 ns|              794371 ns|RD-DATA   | AFCDCEF4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794371 ns|              794376 ns|RD-DATA   | AFCDCEF8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794376 ns|              794381 ns|RD-NONSEQ | AFCDCEE0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | D |           0|
|              794376 ns|              794381 ns|RD-DATA   | AFCDCEFC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794381 ns|              794491 ns|RD-DATA   | AFCDCEE0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794491 ns|              794496 ns|RD-DATA   | AFCDCEE4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794496 ns|              794501 ns|RD-DATA   | AFCDCEE8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794501 ns|              794506 ns|RD-NONSEQ | AFCDCED0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | A |           0|
|              794501 ns|              794506 ns|RD-DATA   | AFCDCEEC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794506 ns|              794616 ns|RD-DATA   | AFCDCED0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794616 ns|              794621 ns|RD-DATA   | AFCDCED4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794621 ns|              794626 ns|RD-DATA   | AFCDCED8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794626 ns|              794631 ns|RD-NONSEQ | AFCDCEC0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 6 |           0|
|              794626 ns|              794631 ns|RD-DATA   | AFCDCEDC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794631 ns|              794741 ns|RD-DATA   | AFCDCEC0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794741 ns|              794746 ns|RD-DATA   | AFCDCEC4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794746 ns|              794751 ns|RD-DATA   | AFCDCEC8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794751 ns|              794756 ns|RD-NONSEQ | AFCDCEB0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              794751 ns|              794756 ns|RD-DATA   | AFCDCECC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794756 ns|              794866 ns|RD-DATA   | AFCDCEB0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794866 ns|              794871 ns|RD-DATA   | AFCDCEB4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794871 ns|              794876 ns|RD-DATA   | AFCDCEB8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794876 ns|              794881 ns|RD-NONSEQ | AFCDCEA0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | D |           0|
|              794876 ns|              794881 ns|RD-DATA   | AFCDCEBC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794881 ns|              794991 ns|RD-DATA   | AFCDCEA0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794991 ns|              794996 ns|RD-DATA   | AFCDCEA4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              794996 ns|              795001 ns|RD-DATA   | AFCDCEA8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795001 ns|              795006 ns|RD-NONSEQ | AFCDCE90 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 8 |           0|
|              795001 ns|              795006 ns|RD-DATA   | AFCDCEAC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795006 ns|              795116 ns|RD-DATA   | AFCDCE90 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795116 ns|              795121 ns|RD-DATA   | AFCDCE94 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795121 ns|              795126 ns|RD-DATA   | AFCDCE98 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795126 ns|              795131 ns|RD-NONSEQ | AFCDCE80 | ----- |  4 | -------- |  ----  |INCR4 |    4    | D |           0|
|              795126 ns|              795131 ns|RD-DATA   | AFCDCE9C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795131 ns|              795241 ns|RD-DATA   | AFCDCE80 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795241 ns|              795246 ns|RD-DATA   | AFCDCE84 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795246 ns|              795251 ns|RD-DATA   | AFCDCE88 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795251 ns|              795256 ns|RD-NONSEQ | AFCDCE70 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 3 |           0|
|              795251 ns|              795256 ns|RD-DATA   | AFCDCE8C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795256 ns|              795366 ns|RD-DATA   | AFCDCE70 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795366 ns|              795371 ns|RD-DATA   | AFCDCE74 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795371 ns|              795376 ns|RD-DATA   | AFCDCE78 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795376 ns|              795381 ns|RD-NONSEQ | AFCDCE60 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 1 |           0|
|              795376 ns|              795381 ns|RD-DATA   | AFCDCE7C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795381 ns|              795491 ns|RD-DATA   | AFCDCE60 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795491 ns|              795496 ns|RD-DATA   | AFCDCE64 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795496 ns|              795501 ns|RD-DATA   | AFCDCE68 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795501 ns|              795506 ns|RD-NONSEQ | AFCDCE50 | ----- |  4 | -------- |  ----  |INCR4 |    4    | D |           0|
|              795501 ns|              795506 ns|RD-DATA   | AFCDCE6C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795506 ns|              795616 ns|RD-DATA   | AFCDCE50 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795616 ns|              795621 ns|RD-DATA   | AFCDCE54 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795621 ns|              795626 ns|RD-DATA   | AFCDCE58 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795626 ns|              795631 ns|RD-NONSEQ | AFCDCE40 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 7 |           0|
|              795626 ns|              795631 ns|RD-DATA   | AFCDCE5C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795631 ns|              795741 ns|RD-DATA   | AFCDCE40 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795741 ns|              795746 ns|RD-DATA   | AFCDCE44 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              795746 ns|              795751 ns|RD-DATA   | AFCDCE48 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
