Instance: uvm_test_top.ahbfab_env_i.mvc_ahb_mst_5_env_i.logger_handle_ahb
AHB Clk Cycle = 5026 ps; AHB Clk Frequency = 198.97 MHz; Data bus width = 32 bits
------------------------------------------------------------------------------------------------------------------------------------------
|NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
|                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
|                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
|                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
|                       |                       |          |          |       |    |          |        |      |         | T |            |
|                       |                       |          |          |       |    |          |        |      |         |   |            |
------------------------------------------------------------------------------------------------------------------------------------------
|             6902334 ps|             6907260 ps|WR-DATA   | 3FF173E0 |  1/ 1 | -- | E2798BDB |  OKAY  | ---- | ------- | - | ---------- |
|             6907260 ps|             6912336 ps|WR-NONSEQ | 3FF17400 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
|             6907260 ps|             6912336 ps|WR-DATA   | 3FF173F0 |  1/ 1 | -- | 7CD14DB8 |  OKAY  | ---- | ------- | - | ---------- |
|             6912336 ps|             6917336 ps|WR-NONSEQ | 3FF17410 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 4 |           0|
|             6912336 ps|             6917336 ps|WR-DATA   | 3FF17400 |  1/ 1 | -- | 5FB1DE2E |  OKAY  | ---- | ------- | - | ---------- |
|             6917336 ps|             6922236 ps|WR-NONSEQ | 3FF17420 | ----- |  1 | -------- |  ----  |SINGLE|    4    | B |           0|
|             6917336 ps|             6922236 ps|WR-DATA   | 3FF17410 |  1/ 1 | -- | F5CC0B9D |  OKAY  | ---- | ------- | - | ---------- |
|             6922236 ps|             6927336 ps|WR-NONSEQ | 3FF17430 | ----- |  1 | -------- |  ----  |SINGLE|    4    | E |           0|
|             6922236 ps|             6927336 ps|WR-DATA   | 3FF17420 |  1/ 1 | -- | 28884B63 |  OKAY  | ---- | ------- | - | ---------- |
|             6927336 ps|             6932312 ps|WR-NONSEQ | 3FF17440 | ----- |  1 | -------- |  ----  |SINGLE|    4    | B |           0|
|             6927336 ps|             6932312 ps|WR-DATA   | 3FF17430 |  1/ 1 | -- | FD863A09 |  OKAY  | ---- | ------- | - | ---------- |
|             6932312 ps|             6937362 ps|WR-NONSEQ | 3FF17450 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 5 |           0|
