   Trace   : /mnt/ussjf-asic2/workarea1/lkamired/niue1z1_tmp/lkamired/wa_performance/SIM/top/ahbfab_cov.m33i_ram0/uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_8_env_i_ahb_beat.log

   Picked  : Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_8_env_i.logger_handle_ahb :: Header
             Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_8_env_i.logger_handle_ahb
   Picked  : AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
             AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
   Skipped : ------------------------------------------------------------------------------------------------------------------------------------------
   Skipped : |NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
   Skipped : |                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
   Skipped : |                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
   Skipped : |                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
   Skipped : |                       |                       |          |          |       |    |          |        |      |         | T |            |
   Skipped : |                       |                       |          |          |       |    |          |        |      |         |   |            |
   Skipped : ------------------------------------------------------------------------------------------------------------------------------------------
   Picked  : |              297921 ns|              298141 ns|WR-DATA   | F8320018 |  1/ 1 | -- | 00000001 |  OKAY  | ---- | ------- | - | ---------- |
             |              297921 ns|              298141 ns|WR-DATA   | F8320018 |  1/ 1 | -- | 00000001 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              298191 ns|              298196 ns|RD-NONSEQ | F832200C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              298191 ns|              298196 ns|RD-NONSEQ | F832200C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              298196 ns|              298461 ns|RD-DATA   | F832200C |  1/ 1 | -- | 00190003 |  OKAY  | ---- | ------- | - | ---------- |
             |              298196 ns|              298461 ns|RD-DATA   | F832200C |  1/ 1 | -- | 00190003 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              298511 ns|              298516 ns|RD-NONSEQ | F8322010 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              298511 ns|              298516 ns|RD-NONSEQ | F8322010 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              298516 ns|              298741 ns|RD-DATA   | F8322010 |  1/ 1 | -- | 00000001 |  OKAY  | ---- | ------- | - | ---------- |
             |              298516 ns|              298741 ns|RD-DATA   | F8322010 |  1/ 1 | -- | 00000001 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              298796 ns|              298801 ns|WR-NONSEQ | F8322010 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              298796 ns|              298801 ns|WR-NONSEQ | F8322010 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              298801 ns|              299031 ns|WR-DATA   | F8322010 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
             |              298801 ns|              299031 ns|WR-DATA   | F8322010 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              299086 ns|              299091 ns|WR-NONSEQ | F8312060 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              299086 ns|              299091 ns|WR-NONSEQ | F8312060 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              299091 ns|              299341 ns|WR-DATA   | F8312060 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
